Name,TOT_P
Valsad,1705678
Surat,6081322
Tapi,807022
Diu,52074
Daman,191173
Dadra & Nagar Haveli,343709
Nandurbar,1648295
Dhule,2050862
Jalgaon,4229917
Buldana,2586258
Akola,1813906
Washim,1197160
Amravati,2888445
Wardha,1300774
Nagpur,4653570
Bhandara,1200334
Gondiya,1322507
Gadchiroli,1072942
Chandrapur,2204307
Yavatmal,2772348
Nanded,3361292
Hingoli,1177345
Parbhani,1836086
Jalna,1959046
Aurangabad,3701282
Nashik,6107187
Thane,11060148
Mumbai Suburban,9356962
Mumbai,3085411
Raigarh,2634200
Pune,9429408
Ahmadnagar,4543159
Bid,2585049
Latur,2454196
Osmanabad,1657576
Solapur,4317756
Satara,3003741
Ratnagiri,1615069
Sindhudurg,849651
Kolhapur,3876001
Sangli,2822143
Adilabad,2741239
Nizamabad,2551335
Karimnagar,3776269
Medak,3033288
Hyderabad,3943323
Rangareddy,5296741
Mahbubnagar,4053028
Nalgonda,3488809
Warangal,3512576
Khammam,2797370
Srikakulam,2703114
Vizianagaram,2344474
Visakhapatnam,4290589
East Godavari,5154296
West Godavari,3936966
Krishna,4517398
Guntur,4887813
Prakasam,3397448
Sri Potti Sriramulu Nellore,2963557
Y.S.R.,2882469
Kurnool,4053463
Anantapur,4081148
Chittoor,4174064
Belgaum,4779661
Bagalkot ,1889752
Bijapur,2177331
Bidar,1703300
Raichur,1928812
Koppal,1389920
Gadag,1064570
Dharwad,1847023
Uttara Kannada,1437169
Haveri,1597668
Bellary,2452595
Chitradurga,1659456
Davanagere,1945497
Shimoga,1752753
Udupi,1177361
Chikmagalur,1137961
Tumkur,2678980
Bangalore,9621551
Mandya,1805769
Hassan,1776421
Dakshina Kannada,2089649
Kodagu,554519
Mysore,3001127
Chamarajanagar,1020791
Gulbarga,2566326
Yadgir,1174271
Kolar,1536401
Chikkaballapura,1255104
Bangalore Rural,990923
Ramanagara,1082636
North Goa,818008
South Goa,640537
Lakshadweep,64473
Kasaragod,1307375
Kannur,2523003
Wayanad,817420
Kozhikode,3086293
Malappuram,4112920
Palakkad,2809934
Thrissur,3121200
Ernakulam,3282388
Idukki ,1108974
Kottayam,1974551
Alappuzha,2127789
Pathanamthitta,1197412
Kollam,2635375
Thiruvananthapuram,3301427
Thiruvallur,3728104
Chennai,4646732
Kancheepuram,3998252
Vellore,3936331
Tiruvannamalai,2464875
Viluppuram,3458873
Salem,3482056
Namakkal   ,1726601
Erode,2251744
The Nilgiris,735394
Dindigul,2159775
Karur ,1064493
Tiruchirappalli,2722290
Perambalur  ,565223
Ariyalur  ,754894
Cuddalore,2605914
Nagapattinam  ,1616450
Thiruvarur,1264277
Thanjavur,2405890
Pudukkottai,1618345
Sivaganga,1339101
Madurai,3038252
Theni  ,1245899
Virudhunagar,1942288
Ramanathapuram,1353445
Thoothukkudi,1750176
Tirunelveli ,3077233
Kanniyakumari,1870374
Dharmapuri,1506843
Krishnagiri,1879809
Coimbatore,3458045
Tiruppur,2479052
Yanam,55626
Puducherry,950289
Mahe,41816
Karaikal,200222
Nicobars,36842
North  & Middle Andaman,105597
South Andaman,238142
