district_name,risk_score_per_100k
udalguri,710.2593823496876
fatehgarh sahib,708.5575085435123
sitamarhi,707.6815047666561
doda,707.4275008781858
nagpur,707.0915447710038
valsad,706.3173705705296
daman,704.3358633279804
araria,700.4096289296119
jalgaon,700.2501467522885
krishna,698.4773092829101
lunglei,697.5245930074088
nainital,695.8899230571808
nadia,691.0945119591299
churu,690.9132272999838
siwan,690.3692698675019
srikakulam,687.3553982554935
dhar,686.6615457181902
raichur,681.5594262167593
koppal,677.5929549902153
tinsukia,676.749284035517
bara banki,676.0820302640631
upper subansiri,675.8700028760426
ajmer,675.6155121925536
bikaner,675.2929540846477
banas kantha,675.0347539790021
giridih,674.5113626233606
farrukhabad,672.6592984101455
rampur,672.5478301186864
malkangiri,671.4862555284478
unnao,669.4672797645837
nagaur,668.5827768360481
dungarpur,664.8292609855447
bilaspur,661.9071199480107
haveri,660.4313286615242
rae bareli,657.3076549253735
tarn taran,657.2278089042154
godda,657.0357755427844
palamu,654.3740840231995
shahjahanpur,652.9104238828845
ramgarh,651.6978902366966
leh(ladakh),649.1268812693371
nalgonda,647.9288490714166
lakhisarai,647.1597902712725
ratnagiri,644.0901286570419
fatehpur,639.6774758397453
nizamabad,639.0967865842784
bhavnagar,638.6864164784671
chitrakoot,637.8248111885291
mau,631.2648234244558
gumla,630.8445171881356
banswara,629.657549298047
barmer,624.9061450192434
birbhum,622.8293480706395
amreli,619.6382224159452
yadgir,618.6817182745721
gadag,618.2308349850174
solan,617.9349324510615
kokrajhar,616.5303863417582
surendranagar,616.4491979583981
sitapur,615.9466832233421
arwal,615.2590523127149
the nilgiris,614.2965539561106
kolar,612.30759417626
mayurbhanj,610.8174738802209
east,606.7671495414036
aizawl,600.2238270935702
shahid bhagat singh nagar,597.9814146429096
jamtara,597.6294558316753
purnia,597.4663505909878
jalor,596.2061102513766
karbi anglong,594.1046498374486
dakshina kannada,591.8816987924766
bishnupur,591.19878348266
chamba,589.4081837096402
latehar,583.7178016391143
moga,582.6285016460022
serchhip,581.3326762862466
dakshin dinajpur,580.8112745156526
budaun,579.4840484359146
dohad,577.9973165165866
imphal west,577.2772552471853
dhalai,576.765460169738
sultanpur,576.3056550535578
raigarh,575.9433604130286
raipur,575.5963770512457
kishanganj,574.6864647420729
darbhanga,572.2198870570188
jamnagar,568.1168491180347
kheda,566.9848709826796
reasi,566.7896538245193
gadchiroli,565.4546098484354
kheri,563.6689948854123
tiruppur,562.1402858834748
faridkot,561.2882748077757
visakhapatnam,561.1292528834618
solapur,560.0246980144316
sangrur,559.1271948665061
muktsar,558.4901141595041
lower dibang valley,555.6582840236687
muzaffarpur,555.6218603300687
bahraich,552.9956295367963
muzaffarnagar,549.8717030383887
jaunpur,549.7970274602577
bhagalpur,549.6637989891256
salem,543.9961333189357
srinagar,543.9312952720222
hamirpur,540.892975998044
mansa,538.4208659683457
saharanpur,536.2651894684428
north goa,535.691582478411
madhubani,535.1787758511149
jalaun,535.1265759118188
aurangabad,533.1539684095693
chandauli,532.324571016553
purba medinipur,531.9694851227708
ahmadabad,531.7526599646301
saraikela-kharsawan,528.0473515007661
east godavari,527.6666299335544
munger,525.4192057846194
narmada,525.3287751758861
bijnor,524.1923549296401
bagalkot,522.0526291280548
samastipur,522.0029444575069
ganjam,521.3045734083945
kushinagar,520.3891437446136
tawang,519.2388498709406
dakshin bastar dantewada,517.2045469025819
west siang,516.5933341646329
bandipore,513.344143262151
anantnag,511.77722649282646
moradabad,509.84847881582715
thiruvallur,509.13279243282915
bastar,508.5978690899159
east khasi hills,506.74680337045544
hoshiarpur,501.91444103048923
banda,498.5523032549558
sheohar,497.6030330089631
ghazipur,496.4825808476058
sabar kantha,496.2552329768438
changlang,491.1419049289599
pune,488.56725682036455
hardoi,488.25450267478976
pratapgarh,486.0958119322274
khunti,484.7852449307651
gandhinagar,478.0841140633431
pakur,475.943502046818
nandurbar,472.3062315908257
south tripura,469.0063139197329
deoria,466.9865260472127
sonbhadra,466.21341927960407
nashik,465.83639898368926
gonda,461.77559808487035
dumka,460.93585643562113
gajapati,460.69949482275536
anantapur,459.2335293892797
panch mahals,455.45881337272925
darjiling,454.5644060096717
azamgarh,453.1294803348048
kachchh,452.7280295893988
tapi,451.6605495265309
una,449.89859413285035
patiala,449.37558224305076
ballia,447.7781474880655
surguja,445.31812129907973
lower subansiri,445.0198723353005
chittoor,443.9438398644582
sant kabir nagar,442.6641355470524
jaintia hills,442.3927678399693
shrawasti,440.41272247733724
lakshadweep,438.9434336854187
tamenglong,437.6079800356911
pulwama,436.79965741203335
patna,434.9580754530514
baramula,434.28379259135806
dima hasao,433.9053348404032
karimnagar,433.32453275971596
ambedkar nagar,432.4847532495263
simdega,422.7973674817955
tiruchirappalli,420.4487153585156
basti,418.28567996935647
mirzapur,414.9829593467282
champhai,413.93295956101633
dadra & nagar haveli,411.8309383810141
sundargarh,409.3746312881639
jaintia hills,406.58122513438815
thane,404.9335506179483
lohit,401.09520607166877
pashchim champaran,397.01609283966985
cachar,396.8635571343595
vadodara,395.4267617880242
kupwara,388.1753861072621
sant ravidas nagar (bhadohi),383.21823480100596
junagadh,382.1066960448138
firozpur,380.6908964384739
bankura,375.8194376248723
dehradun,375.4359949407495
jalandhar,375.3892021754293
barddhaman,371.4773692161632
dharwad,370.14969494153564
aurangabad,365.88673870296833
chatra,362.2639483126631
champawat,351.8224673403993
rajkot,351.3483037977079
kargil,350.1370719165921
coimbatore,346.97350670682425
tirap,340.25452109845946
katihar,339.2836733225248
north tripura,337.0574409861272
the dangs,330.2802125357548
ludhiana,328.31352476801885
jalpaiguri,324.9031848929702
mahbubnagar,323.2891556633707
puruliya,322.39348967531987
nicobars,316.2151891862548
jammu,308.8810281066539
west garo hills,303.36193107007557
cuttack,301.84189569703597
shimla,299.7045490841636
deoghar,297.9076760989576
bageshwar,294.92339302341685
south garo hills,290.8651481726081
east siang,290.7855746164856
mumbai suburban,289.383455869544
adilabad,284.8711841616145
kohima,279.4901264235712
paschim medinipur,279.1091573000362
rampur,275.5778594146207
banda,275.56254550102534
chandel,273.6125175125882
rangareddy,272.9886169627701
lawngtlai,265.916840551682
jodhpur,265.73939598580483
barddhaman,257.81454586117405
medak,250.98177291440837
sonitpur,250.55740056441678
churachandpur,243.4860638425931
balrampur,242.89500689963305
kurung kumey,240.01911464442415
amritsar,237.47425042505537
garhwal,225.1659098085035
siddharthnagar,224.08497333447426
kurnool,220.49047937528974
west tripura,220.3983336993601
west khasi hills,215.92808655899816
west,208.67058318847236
east garo hills,206.18589128609037
jaipur,205.4510994959018
dhanbad,199.7402110719851
gurdaspur,196.96970356211898
udham singh nagar,195.0843652321363
mahrajganj,191.52956584024378
alwar,189.30759769733592
tehri garhwal,185.0771733844322
uttarkashi,183.73999503159783
zunheboto,172.63795051045417
pithoragarh,168.06670541681575
mon,164.02940941420923
sagar,159.93555488471944
karbi anglong,158.94377677601372
chamoli,152.9602533164796
ukhrul,149.18640420004567
wokha,145.78311080117587
kiphire,143.91113993838172
mokokchung,143.86862739053137
peren,139.67800544009074
longleng,138.65779256794232
almora,134.45653535869533
surat,134.05802225239842
senapati,121.77865711638157
rudraprayag,121.55106589347257
nagaon,115.2715095574424
bijapur,110.59411729314468
west garo hills,108.03819733215606
tuensang,103.5117703310342
phek,79.85656414838023
west khasi hills,72.7583769927059
north,58.1095477590661
saharanpur,16.81868876540439
